,VMV_CODE,NATIONAL_VARIABLE_CODE,VARIABLE_COMMON_NAME,VARIABLE_COMMON_NAME_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,MEASUREMENT_UNIT,DESCRIPTION,DESCRIPTION_FR,NATIONAL_METHOD_CODE,METHOD_TITLE,METHOD_TITLE_FR
37,100169,890,ZINC TOTAL,ZINC TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
38,100170,401,BORON TOTAL,BORE TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
39,100175,370,ALUMINUM DISSOLVED,ALUMINIUM DISSOUS,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2632.0,DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.,MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE.
40,100176,386,BARIUM DISSOLVED,BARYUM DISSOUS,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2632.0,DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.,MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE.
41,100177,391,BERYLLIUM DISSOLVED,BÉRYLLIUM DISSOUS,METAL,MÉTAUX,µG/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,2632.0,DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.,MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE.
42,100178,409,CADMIUM DISSOLVED,CADMIUM DISSOUS,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2632.0,DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.,MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE.
43,100179,453,COBALT DISSOLVED,COBALT DISSOUS,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2632.0,DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.,MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE.
44,100180,460,CHROMIUM DISSOLVED,CHROME DISSOUS,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2632.0,DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.,MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE.
45,100181,467,COPPER DISSOLVED,CUIVRE DISSOUS,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2632.0,DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.,MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE.
46,100182,516,IRON DISSOLVED,FER DISSOUS,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2632.0,DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.,MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE.
